step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,1000,C3098,5000,4000,C13098,0,1000,0,0
1,TRANSFER,1000,C7586,5000,4000,C17586,0,1000,0,0
1,CASH_OUT,1000,C669,5000,4000,C10669,0,1000,0,0
1,CASH_OUT,1000,C1017,5000,4000,C11017,0,1000,0,0
1,CASH_OUT,1000,C923,5000,4000,C10923,0,1000,0,0
1,TRANSFER,1000,C9076,5000,4000,C19076,0,1000,0,0
1,CASH_OUT,1000,C3894,5000,4000,C13894,0,1000,0,0
1,TRANSFER,1000,C8790,5000,4000,C18790,0,1000,0,0
1,TRANSFER,1000,C6398,5000,4000,C16398,0,1000,0,0
1,TRANSFER,1000,C8605,5000,4000,C18605,0,1000,0,0
1,TRANSFER,1000,C5960,5000,4000,C15960,0,1000,0,0
1,CASH_OUT,1000,C903,5000,4000,C10903,0,1000,0,0
1,TRANSFER,1000,C9567,5000,4000,C19567,0,1000,0,0
1,TRANSFER,1000,C9085,5000,4000,C19085,0,1000,0,0
1,TRANSFER,1000,C9557,5000,4000,C19557,0,1000,0,0
1,TRANSFER,1000,C9332,5000,4000,C19332,0,1000,0,0
1,CASH_OUT,1000,C2070,5000,4000,C12070,0,1000,0,0
1,CASH_OUT,1000,C807,5000,4000,C10807,0,1000,0,0
1,CASH_OUT,1000,C2477,5000,4000,C12477,0,1000,0,0
1,TRANSFER,1000,C7637,5000,4000,C17637,0,1000,0,0
1,TRANSFER,1000,C6569,5000,4000,C16569,0,1000,0,0
1,CASH_OUT,1000,C1497,5000,4000,C11497,0,1000,0,0
1,CASH_OUT,1000,C3759,5000,4000,C13759,0,1000,0,0
1,CASH_OUT,1000,C1505,5000,4000,C11505,0,1000,0,0
1,CASH_OUT,1000,C3021,5000,4000,C13021,0,1000,0,0
1,CASH_OUT,1000,C1130,5000,4000,C11130,0,1000,0,0
1,TRANSFER,1000,C7275,5000,4000,C17275,0,1000,0,0
1,TRANSFER,1000,C7788,5000,4000,C17788,0,1000,0,0
1,TRANSFER,1000,C9399,5000,4000,C19399,0,1000,0,0
1,TRANSFER,1000,C7139,5000,4000,C17139,0,1000,0,0
1,TRANSFER,1000,C9547,5000,4000,C19547,0,1000,0,0
1,CASH_OUT,1000,C4406,5000,4000,C14406,0,1000,0,0
1,TRANSFER,1000,C8157,5000,4000,C18157,0,1000,0,0
1,CASH_OUT,1000,C52,5000,4000,C10052,0,1000,0,0
1,TRANSFER,1000,C7492,5000,4000,C17492,0,1000,0,0
1,TRANSFER,1000,C6447,5000,4000,C16447,0,1000,0,0
1,CASH_OUT,1000,C1523,5000,4000,C11523,0,1000,0,0
1,CASH_OUT,1000,C3366,5000,4000,C13366,0,1000,0,0
1,TRANSFER,1000,C9648,5000,4000,C19648,0,1000,0,0
1,TRANSFER,1000,C8059,5000,4000,C18059,0,1000,0,0
1,CASH_OUT,1000,C4915,5000,4000,C14915,0,1000,0,0
1,TRANSFER,1000,C5283,5000,4000,C15283,0,1000,0,0
1,CASH_OUT,1000,C4688,5000,4000,C14688,0,1000,0,0
1,TRANSFER,1000,C8658,5000,4000,C18658,0,1000,0,0
1,TRANSFER,1000,C7909,5000,4000,C17909,0,1000,0,0
1,CASH_OUT,1000,C802,5000,4000,C10802,0,1000,0,0
1,CASH_OUT,1000,C2299,5000,4000,C12299,0,1000,0,0
1,CASH_OUT,1000,C2973,5000,4000,C12973,0,1000,0,0
1,CASH_OUT,1000,C884,5000,4000,C10884,0,1000,0,0
1,CASH_OUT,1000,C641,5000,4000,C10641,0,1000,0,0
1,TRANSFER,1000,C5144,5000,4000,C15144,0,1000,0,0
1,CASH_OUT,1000,C4650,5000,4000,C14650,0,1000,0,0
1,CASH_OUT,1000,C4618,5000,4000,C14618,0,1000,0,0
1,CASH_OUT,1000,C958,5000,4000,C10958,0,1000,0,0
1,TRANSFER,1000,C5192,5000,4000,C15192,0,1000,0,0
1,TRANSFER,1000,C6691,5000,4000,C16691,0,1000,0,0
1,CASH_OUT,1000,C691,5000,4000,C10691,0,1000,0,0
1,CASH_OUT,1000,C3437,5000,4000,C13437,0,1000,0,0
1,CASH_OUT,1000,C4923,5000,4000,C14923,0,1000,0,0
1,CASH_OUT,1000,C4922,5000,4000,C14922,0,1000,0,0
1,CASH_OUT,1000,C203,5000,4000,C10203,0,1000,0,0
1,CASH_OUT,1000,C4120,5000,4000,C14120,0,1000,0,0
1,TRANSFER,1000,C7836,5000,4000,C17836,0,1000,0,0
1,CASH_OUT,1000,C2214,5000,4000,C12214,0,1000,0,0
1,TRANSFER,1000,C6519,5000,4000,C16519,0,1000,0,0
1,CASH_OUT,1000,C3655,5000,4000,C13655,0,1000,0,0
1,TRANSFER,1000,C6928,5000,4000,C16928,0,1000,0,0
1,TRANSFER,1000,C5485,5000,4000,C15485,0,1000,0,0
1,TRANSFER,1000,C7784,5000,4000,C17784,0,1000,0,0
1,TRANSFER,1000,C5165,5000,4000,C15165,0,1000,0,0
1,CASH_OUT,1000,C2727,5000,4000,C12727,0,1000,0,0
1,CASH_OUT,1000,C1319,5000,4000,C11319,0,1000,0,0
1,CASH_OUT,1000,C1744,5000,4000,C11744,0,1000,0,0
1,CASH_OUT,1000,C4283,5000,4000,C14283,0,1000,0,0
1,TRANSFER,1000,C5904,5000,4000,C15904,0,1000,0,0
1,TRANSFER,1000,C6203,5000,4000,C16203,0,1000,0,0
1,TRANSFER,1000,C9528,5000,4000,C19528,0,1000,0,0
1,TRANSFER,1000,C9477,5000,4000,C19477,0,1000,0,0
1,TRANSFER,1000,C8587,5000,4000,C18587,0,1000,0,0
1,CASH_OUT,1000,C1272,5000,4000,C11272,0,1000,0,0
1,CASH_OUT,1000,C643,5000,4000,C10643,0,1000,0,0
1,CASH_OUT,1000,C668,5000,4000,C10668,0,1000,0,0
1,TRANSFER,1000,C6855,5000,4000,C16855,0,1000,0,0
1,CASH_OUT,1000,C558,5000,4000,C10558,0,1000,0,0
1,CASH_OUT,1000,C4762,5000,4000,C14762,0,1000,0,0
1,TRANSFER,1000,C8675,5000,4000,C18675,0,1000,0,0
1,CASH_OUT,1000,C4921,5000,4000,C14921,0,1000,0,0
1,CASH_OUT,1000,C1232,5000,4000,C11232,0,1000,0,0
1,TRANSFER,1000,C7379,5000,4000,C17379,0,1000,0,0
1,TRANSFER,1000,C9833,5000,4000,C19833,0,1000,1,0
1,CASH_OUT,1000,C1501,5000,4000,C11501,0,1000,0,0
1,TRANSFER,1000,C8079,5000,4000,C18079,0,1000,0,0
1,CASH_OUT,1000,C2054,5000,4000,C12054,0,1000,0,0
1,TRANSFER,1000,C8833,5000,4000,C18833,0,1000,0,0
1,TRANSFER,1000,C8654,5000,4000,C18654,0,1000,0,0
1,CASH_OUT,1000,C1262,5000,4000,C11262,0,1000,0,0
1,TRANSFER,1000,C8470,5000,4000,C18470,0,1000,0,0
1,TRANSFER,1000,C8083,5000,4000,C18083,0,1000,0,0
1,CASH_OUT,1000,C2092,5000,4000,C12092,0,1000,0,0
1,CASH_OUT,1000,C1703,5000,4000,C11703,0,1000,0,0
1,CASH_OUT,1000,C676,5000,4000,C10676,0,1000,0,0
1,CASH_OUT,1000,C1851,5000,4000,C11851,0,1000,0,0
1,CASH_OUT,1000,C314,5000,4000,C10314,0,1000,0,0
1,CASH_OUT,1000,C1283,5000,4000,C11283,0,1000,0,0
1,CASH_OUT,1000,C2675,5000,4000,C12675,0,1000,0,0
1,TRANSFER,1000,C9082,5000,4000,C19082,0,1000,0,0
1,CASH_OUT,1000,C2725,5000,4000,C12725,0,1000,0,0
1,TRANSFER,1000,C7460,5000,4000,C17460,0,1000,0,0
1,TRANSFER,1000,C5802,5000,4000,C15802,0,1000,0,0
1,CASH_OUT,1000,C3755,5000,4000,C13755,0,1000,0,0
1,TRANSFER,1000,C5620,5000,4000,C15620,0,1000,0,0
1,TRANSFER,1000,C6051,5000,4000,C16051,0,1000,0,0
1,CASH_OUT,1000,C498,5000,4000,C10498,0,1000,0,0
1,TRANSFER,1000,C7684,5000,4000,C17684,0,1000,0,0
1,TRANSFER,1000,C5862,5000,4000,C15862,0,1000,0,0
1,CASH_OUT,1000,C4270,5000,4000,C14270,0,1000,0,0
1,CASH_OUT,1000,C1632,5000,4000,C11632,0,1000,0,0
1,TRANSFER,1000,C7097,5000,4000,C17097,0,1000,0,0
1,TRANSFER,1000,C6149,5000,4000,C16149,0,1000,0,0
1,CASH_OUT,1000,C2624,5000,4000,C12624,0,1000,0,0
1,TRANSFER,1000,C5416,5000,4000,C15416,0,1000,0,0
1,CASH_OUT,1000,C1433,5000,4000,C11433,0,1000,0,0
1,CASH_OUT,1000,C107,5000,4000,C10107,0,1000,0,0
1,TRANSFER,1000,C8088,5000,4000,C18088,0,1000,0,0
1,TRANSFER,1000,C7310,5000,4000,C17310,0,1000,0,0
1,CASH_OUT,1000,C3734,5000,4000,C13734,0,1000,0,0
1,CASH_OUT,1000,C1517,5000,4000,C11517,0,1000,0,0
1,CASH_OUT,1000,C801,5000,4000,C10801,0,1000,0,0
1,CASH_OUT,1000,C4376,5000,4000,C14376,0,1000,0,0
1,TRANSFER,1000,C8419,5000,4000,C18419,0,1000,0,0
1,TRANSFER,1000,C7808,5000,4000,C17808,0,1000,0,0
1,CASH_OUT,1000,C2988,5000,4000,C12988,0,1000,0,0
1,CASH_OUT,1000,C215,5000,4000,C10215,0,1000,0,0
1,TRANSFER,1000,C5579,5000,4000,C15579,0,1000,0,0
1,TRANSFER,1000,C5444,5000,4000,C15444,0,1000,0,0
1,TRANSFER,1000,C5637,5000,4000,C15637,0,1000,0,0
1,TRANSFER,1000,C9377,5000,4000,C19377,0,1000,0,0
1,CASH_OUT,1000,C4836,5000,4000,C14836,0,1000,0,0
1,CASH_OUT,1000,C2269,5000,4000,C12269,0,1000,0,0
1,TRANSFER,1000,C8390,5000,4000,C18390,0,1000,0,0
1,CASH_OUT,1000,C2215,5000,4000,C12215,0,1000,0,0
1,CASH_OUT,1000,C2388,5000,4000,C12388,0,1000,0,0
1,TRANSFER,1000,C5318,5000,4000,C15318,0,1000,0,0
1,CASH_OUT,1000,C2445,5000,4000,C12445,0,1000,0,0
1,TRANSFER,1000,C9663,5000,4000,C19663,0,1000,0,0
1,CASH_OUT,1000,C3058,5000,4000,C13058,0,1000,0,0
1,TRANSFER,1000,C8443,5000,4000,C18443,0,1000,0,0
1,TRANSFER,1000,C8442,5000,4000,C18442,0,1000,0,0
1,TRANSFER,1000,C6765,5000,4000,C16765,0,1000,0,0
1,CASH_OUT,1000,C572,5000,4000,C10572,0,1000,0,0
1,CASH_OUT,1000,C422,5000,4000,C10422,0,1000,0,0
1,CASH_OUT,1000,C4652,5000,4000,C14652,0,1000,0,0
1,TRANSFER,1000,C6703,5000,4000,C16703,0,1000,0,0
1,TRANSFER,1000,C7220,5000,4000,C17220,0,1000,0,0
1,TRANSFER,1000,C7874,5000,4000,C17874,0,1000,0,0
1,TRANSFER,1000,C5755,5000,4000,C15755,0,1000,0,0
1,TRANSFER,1000,C6077,5000,4000,C16077,0,1000,0,0
1,TRANSFER,1000,C8127,5000,4000,C18127,0,1000,0,0
1,TRANSFER,1000,C5003,5000,4000,C15003,0,1000,0,0
1,TRANSFER,1000,C7522,5000,4000,C17522,0,1000,0,0
1,TRANSFER,1000,C9893,5000,4000,C19893,0,1000,1,0
1,CASH_OUT,1000,C837,5000,4000,C10837,0,1000,0,0
1,TRANSFER,1000,C8936,5000,4000,C18936,0,1000,0,0
1,TRANSFER,1000,C6329,5000,4000,C16329,0,1000,0,0
1,TRANSFER,1000,C5572,5000,4000,C15572,0,1000,0,0
1,TRANSFER,1000,C9901,5000,4000,C19901,0,1000,1,0
1,CASH_OUT,1000,C3886,5000,4000,C13886,0,1000,0,0
1,CASH_OUT,1000,C4480,5000,4000,C14480,0,1000,0,0
1,CASH_OUT,1000,C1740,5000,4000,C11740,0,1000,0,0
1,TRANSFER,1000,C5577,5000,4000,C15577,0,1000,0,0
1,CASH_OUT,1000,C4411,5000,4000,C14411,0,1000,0,0
1,TRANSFER,1000,C8283,5000,4000,C18283,0,1000,0,0
1,CASH_OUT,1000,C2633,5000,4000,C12633,0,1000,0,0
1,TRANSFER,1000,C5419,5000,4000,C15419,0,1000,0,0
1,CASH_OUT,1000,C1088,5000,4000,C11088,0,1000,0,0
1,TRANSFER,1000,C9105,5000,4000,C19105,0,1000,0,0
1,TRANSFER,1000,C6623,5000,4000,C16623,0,1000,0,0
1,CASH_OUT,1000,C4995,5000,4000,C14995,0,1000,0,0
1,CASH_OUT,1000,C39,5000,4000,C10039,0,1000,0,0
1,TRANSFER,1000,C5037,5000,4000,C15037,0,1000,0,0
1,TRANSFER,1000,C8572,5000,4000,C18572,0,1000,0,0
1,CASH_OUT,1000,C4552,5000,4000,C14552,0,1000,0,0
1,CASH_OUT,1000,C4608,5000,4000,C14608,0,1000,0,0
1,CASH_OUT,1000,C387,5000,4000,C10387,0,1000,0,0
1,CASH_OUT,1000,C3795,5000,4000,C13795,0,1000,0,0
1,CASH_OUT,1000,C3397,5000,4000,C13397,0,1000,0,0
1,TRANSFER,1000,C9716,5000,4000,C19716,0,1000,0,0
1,TRANSFER,1000,C5204,5000,4000,C15204,0,1000,0,0
1,TRANSFER,1000,C5141,5000,4000,C15141,0,1000,0,0
1,TRANSFER,1000,C5278,5000,4000,C15278,0,1000,0,0
1,CASH_OUT,1000,C4863,5000,4000,C14863,0,1000,0,0
1,TRANSFER,1000,C7710,5000,4000,C17710,0,1000,0,0
1,TRANSFER,1000,C8689,5000,4000,C18689,0,1000,0,0
1,TRANSFER,1000,C6176,5000,4000,C16176,0,1000,0,0
1,TRANSFER,1000,C5769,5000,4000,C15769,0,1000,0,0
1,TRANSFER,1000,C9327,5000,4000,C19327,0,1000,0,0
1,TRANSFER,1000,C8814,5000,4000,C18814,0,1000,0,0
1,TRANSFER,1000,C9425,5000,4000,C19425,0,1000,0,0
1,TRANSFER,1000,C8379,5000,4000,C18379,0,1000,0,0
1,CASH_OUT,1000,C3632,5000,4000,C13632,0,1000,0,0
1,CASH_OUT,1000,C4207,5000,4000,C14207,0,1000,0,0
1,TRANSFER,1000,C6097,5000,4000,C16097,0,1000,0,0
1,CASH_OUT,1000,C436,5000,4000,C10436,0,1000,0,0
1,CASH_OUT,1000,C838,5000,4000,C10838,0,1000,0,0
1,CASH_OUT,1000,C23,5000,4000,C10023,0,1000,0,0
1,CASH_OUT,1000,C1472,5000,4000,C11472,0,1000,0,0
1,CASH_OUT,1000,C2873,5000,4000,C12873,0,1000,0,0
1,TRANSFER,1000,C8966,5000,4000,C18966,0,1000,0,0
1,TRANSFER,1000,C6583,5000,4000,C16583,0,1000,0,0
1,CASH_OUT,1000,C3589,5000,4000,C13589,0,1000,0,0
1,CASH_OUT,1000,C3745,5000,4000,C13745,0,1000,0,0
1,CASH_OUT,1000,C241,5000,4000,C10241,0,1000,0,0
1,CASH_OUT,1000,C4039,5000,4000,C14039,0,1000,0,0
1,TRANSFER,1000,C5168,5000,4000,C15168,0,1000,0,0
1,CASH_OUT,1000,C62,5000,4000,C10062,0,1000,0,0
1,CASH_OUT,1000,C3626,5000,4000,C13626,0,1000,0,0
1,TRANSFER,1000,C7193,5000,4000,C17193,0,1000,0,0
1,TRANSFER,1000,C8542,5000,4000,C18542,0,1000,0,0
1,CASH_OUT,1000,C3070,5000,4000,C13070,0,1000,0,0
1,TRANSFER,1000,C5026,5000,4000,C15026,0,1000,0,0
1,CASH_OUT,1000,C3932,5000,4000,C13932,0,1000,0,0
1,CASH_OUT,1000,C2527,5000,4000,C12527,0,1000,0,0
1,CASH_OUT,1000,C2439,5000,4000,C12439,0,1000,0,0
1,CASH_OUT,1000,C1830,5000,4000,C11830,0,1000,0,0
1,TRANSFER,1000,C9669,5000,4000,C19669,0,1000,0,0
1,CASH_OUT,1000,C2897,5000,4000,C12897,0,1000,0,0
1,TRANSFER,1000,C6322,5000,4000,C16322,0,1000,0,0
1,TRANSFER,1000,C9140,5000,4000,C19140,0,1000,0,0
1,CASH_OUT,1000,C1666,5000,4000,C11666,0,1000,0,0
1,TRANSFER,1000,C6830,5000,4000,C16830,0,1000,0,0
1,TRANSFER,1000,C9649,5000,4000,C19649,0,1000,0,0
1,TRANSFER,1000,C8012,5000,4000,C18012,0,1000,0,0
1,TRANSFER,1000,C7857,5000,4000,C17857,0,1000,0,0
